title,country,frequency,units,series_id
Harmonised CPI for Austria,austria,annual,growth_previous,CPHPTT01ATA657N
Harmonised CPI for Austria,austria,annual,growth_same,CPHPTT01ATA659N
Harmonised CPI for Austria,austria,monthly,growth_previous,CPHPTT01ATM657N
Harmonised CPI for Austria,austria,monthly,growth_same,CPHPTT01ATM659N
Harmonised CPI for Austria,austria,monthly,index_2015,CP0000ATM086NEST
Harmonised CPI for Belgium,belgium,annual,growth_previous,CPHPTT01BEA657N
Harmonised CPI for Belgium,belgium,annual,growth_same,CPHPTT01BEA659N
Harmonised CPI for Belgium,belgium,monthly,growth_previous,CPHPTT01BEM657N
Harmonised CPI for Belgium,belgium,monthly,growth_same,CPHPTT01BEM659N
Harmonised CPI for Belgium,belgium,monthly,index_2015,CP0000BEM086NEST
Harmonised CPI for Bulgaria,bulgaria,monthly,index_2015,CP0000BGM086NEST
Harmonised CPI for Croatia,croatia,monthly,index_2015,CP0000HRM086NEST
Harmonised CPI for Cyprus,cyprus,monthly,index_2015,CP0000CYM086NEST
Harmonised CPI for the Czech Republic,czech_republic,annual,growth_previous,CPHPTT01CZA657N
Harmonised CPI for the Czech Republic,czech_republic,annual,growth_same,CPHPTT01CZA659N
Harmonised CPI for the Czech Republic,czech_republic,monthly,growth_previous,CPHPTT01CZM657N
Harmonised CPI for the Czech Republic,czech_republic,monthly,growth_same,CPHPTT01CZM659N
Harmonised CPI for Czech Republic,czech_republic,monthly,index_2015,CP0000CZM086NEST
Harmonised CPI for Denmark,denmark,annual,growth_previous,CPHPTT01DKA657N
Harmonised CPI for Denmark,denmark,annual,growth_same,CPHPTT01DKA659N
Harmonised CPI for Denmark,denmark,monthly,growth_previous,CPHPTT01DKM657N
Harmonised CPI for Denmark,denmark,monthly,growth_same,CPHPTT01DKM659N
Harmonised CPI for Denmark,denmark,monthly,index_2015,CP0000DKM086NEST
Harmonised CPI for Estonia,estonia,annual,growth_previous,CPHPTT01EEA657N
Harmonised CPI for Estonia,estonia,annual,growth_same,CPHPTT01EEA659N
Harmonised CPI for Estonia,estonia,annual,index_2015,CPHPTT01EEA661N
Harmonised CPI for Estonia,estonia,monthly,growth_previous,CPHPTT01EEM657N
Harmonised CPI for Estonia,estonia,monthly,growth_same,CPHPTT01EEM659N
Harmonised CPI for Estonia,estonia,monthly,index_2015,CPHPTT01EEM661N
Harmonised CPI for the Euro Area ,euro_area,annual,growth_previous,CPHPTT01EZA657N
Harmonised CPI for the Euro Area ,euro_area,annual,growth_same,CPHPTT01EZA659N
Harmonised CPI for the Euro Area ,euro_area,annual,index_2015,CPHPTT01EZA661N
Harmonised CPI for the Euro Area ,euro_area,monthly,growth_previous,CPHPTT01EZM657N
Harmonised CPI for the Euro Area ,euro_area,monthly,growth_same,CPHPTT01EZM659N
Harmonised CPI for the Euro Area ,euro_area,monthly,index_2015,CPHPTT01EZM661N
Harmonised CPI for Finland,finland,annual,growth_previous,CPHPTT01FIA657N
Harmonised CPI for Finland,finland,annual,growth_same,CPHPTT01FIA659N
Harmonised CPI for Finland,finland,monthly,growth_previous,CPHPTT01FIM657N
Harmonised CPI for Finland,finland,monthly,growth_same,CPHPTT01FIM659N
Harmonised CPI for Finland,finland,monthly,index_2015,CP0000FIM086NEST
Harmonised CPI for France,france,monthly,index_2015,CP0000FRM086NEST
Harmonised CPI for France,france,annual,growth_previous,CPHPTT01FRA657N
Harmonised CPI for France,france,annual,growth_same,CPHPTT01FRA659N
Harmonised CPI for France,france,monthly,growth_previous,CPHPTT01FRM657N
Harmonised CPI for France,france,monthly,growth_same,CPHPTT01FRM659N
Harmonised CPI for Germany,germany,annual,growth_previous,CPHPTT01DEA657N
Harmonised CPI for Germany,germany,annual,growth_same,CPHPTT01DEA659N
Harmonised CPI for Germany,germany,monthly,growth_previous,CPHPTT01DEM657N
Harmonised CPI for Germany,germany,monthly,growth_same,CPHPTT01DEM659N
Harmonised CPI for Germany,germany,monthly,index_2015,CP0000DEM086NEST
Harmonised CPI for Greece,greece,monthly,index_2015,CP0000GRM086NEST
Harmonised CPI for Greece,greece,annual,growth_previous,CPHPTT01GRA657N
Harmonised CPI for Greece,greece,annual,growth_same,CPHPTT01GRA659N
Harmonised CPI for Greece,greece,monthly,growth_previous,CPHPTT01GRM657N
Harmonised CPI for Greece,greece,monthly,growth_same,CPHPTT01GRM659N
Harmonised CPI for Hungary,hungary,monthly,index_2015,CP0000HUM086NEST
Harmonised CPI for Hungary,hungary,annual,growth_previous,CPHPTT01HUA657N
Harmonised CPI for Hungary,hungary,annual,growth_same,CPHPTT01HUA659N
Harmonised CPI for Hungary,hungary,monthly,growth_previous,CPHPTT01HUM657N
Harmonised CPI for Hungary,hungary,monthly,growth_same,CPHPTT01HUM659N
Harmonised CPI for Iceland,iceland,monthly,index_2015,CP0000ISM086NEST
Harmonised CPI for Iceland,iceland,annual,growth_previous,CPHPTT01ISA657N
Harmonised CPI for Iceland,iceland,annual,growth_same,CPHPTT01ISA659N
Harmonised CPI for Iceland,iceland,monthly,growth_previous,CPHPTT01ISM657N
Harmonised CPI for Iceland,iceland,monthly,growth_same,CPHPTT01ISM659N
Harmonised CPI for Italy,italy,monthly,index_2015,CP0000ITM086NEST
Harmonised CPI for Italy,italy,annual,growth_previous,CPHPTT01ITA657N
Harmonised CPI for Italy,italy,annual,growth_same,CPHPTT01ITA659N
Harmonised CPI for Italy,italy,monthly,growth_previous,CPHPTT01ITM657N
Harmonised CPI for Italy,italy,monthly,growth_same,CPHPTT01ITM659N
Harmonised CPI for Latvia,latvia,monthly,index_2015,CP0000LVM086NEST
Harmonised CPI for Lithuania,lithuania,monthly,index_2015,CP0000LTM086NEST
Harmonised CPI for Luxembourg,luxembourg,monthly,index_2015,CP0000LUM086NEST
Harmonised CPI for Luxembourg,luxembourg,annual,growth_previous,CPHPTT01LUA657N
Harmonised CPI for Luxembourg,luxembourg,annual,growth_same,CPHPTT01LUA659N
Harmonised CPI for Luxembourg,luxembourg,monthly,growth_previous,CPHPTT01LUM657N
Harmonised CPI for Luxembourg,luxembourg,monthly,growth_same,CPHPTT01LUM659N
Harmonised CPI for Malta,malta,monthly,index_2015,CP0000MTM086NEST
Harmonised CPI for Netherlands,netherlands,monthly,index_2015,CP0000NLM086NEST
Harmonised CPI for the Netherlands,netherlands,annual,growth_previous,CPHPTT01NLA657N
Harmonised CPI for the Netherlands,netherlands,annual,growth_same,CPHPTT01NLA659N
Harmonised CPI for the Netherlands,netherlands,monthly,growth_previous,CPHPTT01NLM657N
Harmonised CPI for the Netherlands,netherlands,monthly,growth_same,CPHPTT01NLM659N
Harmonised CPI for Norway,norway,monthly,index_2015,CP0000NOM086NEST
Harmonised CPI for Norway,norway,annual,growth_previous,CPHPTT01NOA657N
Harmonised CPI for Norway,norway,annual,growth_same,CPHPTT01NOA659N
Harmonised CPI for Norway,norway,monthly,growth_previous,CPHPTT01NOM657N
Harmonised CPI for Norway,norway,monthly,growth_same,CPHPTT01NOM659N
Harmonised CPI for Poland,poland,monthly,index_2015,CP0000PLM086NEST
Harmonised CPI for Poland,poland,annual,growth_previous,CPHPTT01PLA657N
Harmonised CPI for Poland,poland,annual,growth_same,CPHPTT01PLA659N
Harmonised CPI for Poland,poland,monthly,growth_previous,CPHPTT01PLM657N
Harmonised CPI for Poland,poland,monthly,growth_same,CPHPTT01PLM659N
Harmonised CPI for Portugal,portugal,monthly,index_2015,CP0000PTM086NEST
Harmonised CPI for Portugal,portugal,annual,growth_previous,CPHPTT01PTA657N
Harmonised CPI for Portugal,portugal,annual,growth_same,CPHPTT01PTA659N
Harmonised CPI for Portugal,portugal,monthly,growth_previous,CPHPTT01PTM657N
Harmonised CPI for Portugal,portugal,monthly,growth_same,CPHPTT01PTM659N
Harmonised CPI for Romania,romania,monthly,index_2015,CP0000ROM086NEST
Harmonised CPI for the Slovak Republic,slovak_republic,annual,growth_previous,CPHPTT01SKA657N
Harmonised CPI for the Slovak Republic,slovak_republic,annual,growth_same,CPHPTT01SKA659N
Harmonised CPI for the Slovak Republic,slovak_republic,monthly,growth_previous,CPHPTT01SKM657N
Harmonised CPI for the Slovak Republic,slovak_republic,monthly,growth_same,CPHPTT01SKM659N
Harmonised CPI for Slovakia,slovakia,monthly,index_2015,CP0000SKM086NEST
Harmonised CPI for Slovenia,slovenia,monthly,index_2015,CP0000SIM086NEST
Harmonised CPI for Slovenia,slovenia,annual,growth_previous,CPHPTT01SIA657N
Harmonised CPI for Slovenia,slovenia,annual,growth_same,CPHPTT01SIA659N
Harmonised CPI for Slovenia,slovenia,monthly,growth_previous,CPHPTT01SIM657N
Harmonised CPI for Slovenia,slovenia,monthly,growth_same,CPHPTT01SIM659N
Harmonised CPI for Spain,spain,annual,growth_previous,CPHPTT01ESA657N
Harmonised CPI for Spain,spain,annual,growth_same,CPHPTT01ESA659N
Harmonised CPI for Spain,spain,monthly,growth_previous,CPHPTT01ESM657N
Harmonised CPI for Spain,spain,monthly,growth_same,CPHPTT01ESM659N
Harmonised CPI for Spain,spain,monthly,index_2015,CP0000ESM086NEST
Harmonised CPI for Sweden,sweden,monthly,index_2015,CP0000SEM086NEST
Harmonised CPI for Sweden,sweden,annual,growth_previous,CPHPTT01SEA657N
Harmonised CPI for Sweden,sweden,annual,growth_same,CPHPTT01SEA659N
Harmonised CPI for Sweden,sweden,monthly,growth_previous,CPHPTT01SEM657N
Harmonised CPI for Sweden,sweden,monthly,growth_same,CPHPTT01SEM659N
Harmonised CPI for Switzerland,switzerland,annual,growth_previous,CPHPTT01CHA657N
Harmonised CPI for Switzerland,switzerland,annual,growth_same,CPHPTT01CHA659N
Harmonised CPI for Switzerland,switzerland,monthly,growth_previous,CPHPTT01CHM657N
Harmonised CPI for Switzerland,switzerland,monthly,growth_same,CPHPTT01CHM659N
Harmonised CPI for Switzerland,switzerland,monthly,index_2015,CP0000CHM086NEST
Harmonised CPI for Turkey,turkey,monthly,index_2015,CP0000TRM086NEST
Harmonised CPI for Turkey,turkey,annual,growth_previous,CPHPTT01TRA657N
Harmonised CPI for Turkey,turkey,annual,growth_same,CPHPTT01TRA659N
Harmonised CPI for Turkey,turkey,monthly,growth_previous,CPHPTT01TRM657N
Harmonised CPI for Turkey,turkey,monthly,growth_same,CPHPTT01TRM659N
Harmonised CPI for the United Kingdom,united_kingdom,annual,growth_same,CPHPTT01GBA659N
Harmonised CPI for the United Kingdom,united_kingdom,monthly,growth_same,CPHPTT01GBM659N
Harmonised CPI for United States,united_states,monthly,index_2015,CP0000USM086NEST
Harmonised CPI for the United States,united_states,annual,growth_previous,CPHPTT01USA657N
Harmonised CPI for the United States,united_states,annual,growth_same,CPHPTT01USA659N
Harmonised CPI for the United States,united_states,monthly,growth_previous,CPHPTT01USM657N
Harmonised CPI for the United States,united_states,monthly,growth_same,CPHPTT01USM659N