Fond,ISIN,Fond Bolag,Region,Kategori,ID
DNB Fund - Nordic Small Cap Retail A SEK,LU2085661721,DNB,,,1038776
DNB Fund - Private Equity retail B,LU0302296065,DNB,,,131490
DNB Fund Future Waves Retail A EUR,LU0029375739,DNB,,,2252
DNB Fund Nordic Equities retail A,LU0083425479,DNB,,,1646
DNB Fund Renewable Energy retail A,LU0302296149,DNB,,,96447
DNB Fund Technology retail A,LU0302296495,DNB,,,131491
DNB Fund TMT L/S Equities retail A SEK,LU0547714872,DNB,,,257890
DNB Global Emerging Markets Indeks A,NO0010815855,DNB,,,862034
DNB Global Indeks A,NO0010582984,DNB,,,463161
DNB Global Lavkarbon A,NO0010801418,DNB,,,789173
DNB Grönt Norden,NO0010102866,DNB,,,691676
DNB Health Care A,NO0010337579,DNB,,,321696
DNB High Yield retail A SEK,LU2077710585,DNB,,,1038774
DNB Klimat Indeks A2,NO0011001869,DNB,,,1263179
DNB Norden Indeks A,NO0010815871,DNB,,,862033
DNB SMB A,NO0010337819,DNB,,,321849
DNB Teknologi A,NO0010337678,DNB,,,321871
DNB Telecom A,NO0010337942,DNB,,,290054
DNB USA Indeks A,NO0010337959,DNB,,,329335
Dynamica 90 Global,SE0003655224,Navigera,,,324895
East Capital Balkans A1 SEK,LU1941809938,East Capital,,,1370204
East Capital China A-Shares A USD,LU1840853219,East Capital,,,899034
East Capital Global EM Sustainable A SEK,LU0562934264,East Capital,,,367456
East Capital Global Frontier Mkts A SEK,LU1125674611,East Capital,,,524110
East Capital Multi-Strategi A SEK,SE0007278585,East Capital,,,814733
East Capital New Europe A1 SEK,LU2437452928,East Capital,,,1370205
Elementa,SE0006852281,Elementa,,,553535
Enter Cross Credit A,SE0000813933,Enter,,,2066
Enter Preserve A,SE0005624632,Enter,,,470076
Enter Return A,SE0002729038,Enter,,,158428
Enter Select A,SE0002096545,Enter,,,91107
Enter Select Pro,SE0001172362,Enter,,,26
Enter Småbolagsfond A,SE0007413398,Enter,,,589935
Enter Sverige A,SE0000813917,Enter,,,1963
Enter Sverige Pro,SE0000813925,Enter,,,1964
Ericsson & Partners Edge A,SE0016845416,Ericsson & Partners Förmögenhetsförvaltning AB,,,1322460
Espiria 30 A,LU1120868382,East Capital,,,528376
Espiria 30 C,LU0674583116,East Capital,,,323519
Espiria 60 A,LU1120868465,East Capital,,,528379
Espiria 90 C,LU0674582571,East Capital,,,323517
Espiria Global A,LU0901111830,East Capital,,,421196
Espiria SDG Solutions A,LU1120868549,East Capital,,,528375
eSports Fund,SE0014957858,AIFM Capital AB,,,1145780
European Alliance RPM Evolving CTA ER,LU1193396774,RPM,,,616835
Evli Aktieindex B,FI4000058821,Evli,,,416835
Evli Corporate Bond B SEK,FI4000043682,Evli,,,355599
Evli Emerging Frontier B,FI4000066915,Evli,,,437855
Evli Emerging Markets Credit B,FI4000066899,Evli,,,476475
Evli Equity Factor Europe B,FI4000153820,Evli,,,996614
Evli Equity Factor USA B,FI4000210810,Evli,,,996615
Evli Euro Liquidity B SEK,FI4000058854,Evli,,,416235
Evli Europe B,FI0008802046,Evli,,,656
Evli Finland Mix B,FI0008801212,Evli,,,274
Evli Finland Select B,FI0008800107,Evli,,,1674
Evli Finnish Small Cap B,FI0008804422,Evli,,,864975
Evli GEM B,FI4000153697,Evli,,,864973
Evli Global B,FI0008801188,Evli,,,2354
Evli Global Multi Manager 30 Fund B,FI0008805650,Evli,,,841333
Evli Global X B SEK,FI4000320973,Evli,,,864974
Evli High Yield B,FI0008803929,Evli,,,906
Evli High Yield B SEK,FI4000043690,Evli,,,355598
Evli Nordic B,FI0008810908,Evli,,,86207
Evli Nordic Corporate Bond B SEK,FI4000058862,Evli,,,416237
Evli Short Corporate Bond B,FI0008800511,Evli,,,869
Evli Short Corporate Bond B SEK,FI4000043716,Evli,,,380220
Evli Statsobligation B,FI0008800495,Evli,,,847
Evli Sverige Småbolag B,FI0008813142,Evli,,,137448
Excalibur Fixed Income A,SE0001097080,Excalibur,,,38392
FE Select A,SE0014958161,FCG,,,1162342
Fidelity America A-Dis-USD,LU0048573561,Fidelity,,,1484
Fidelity American Growth A-Dis-USD,LU0077335932,Fidelity,,,1607
Fidelity ASEAN A-Acc-USD,LU0261945553,Fidelity,,,76979
Fidelity ASEAN A-Dis-USD,LU0048573645,Fidelity,,,1320940
Fidelity Asia Pacific Div A-Dis-USD,LU0205439572,Fidelity,,,351739
Fidelity Asia Pacific Opps A-Acc-EUR,LU0345361124,Fidelity,,,133428
Fidelity Asian Bond A-Acc-USD,LU0605512275,Fidelity,,,350439
Fidelity Asian Smaller Coms A-Acc-USD,LU0702159699,Fidelity,,,343420
Fidelity Asian Special Sits A-Dis-USD,LU0054237671,Fidelity,,,156
Fidelity Australian Divers Eq A-AUD,LU0048574536,Fidelity,,,79
Fidelity China Consumer A-Acc-USD,LU0594300179,Fidelity,,,286152
Fidelity China Focus A-Dis-USD,LU0173614495,Fidelity,,,4761
Fidelity China High Yield A-Acc-USD,LU1313547462,Fidelity,,,966254
Fidelity China RMB Bond A-Acc-RMB,LU0715234463,Fidelity,,,343418
Fidelity Em Eurp Mdl Est&Afr A-Acc-USD,LU0303823156,Fidelity,,,89347
Fidelity Em Mkt Corp Dbt A-Acc-USD,LU0900495697,Fidelity,,,426716
Fidelity Em Mkts A-DIST-USD,LU0048575426,Fidelity,,,2151
Fidelity Emerging Asia A-Acc-USD,LU0329678337,Fidelity,,,123809
Fidelity Emerging Mkt Dbt A-Acc-SEK Hdg,LU0566130729,Fidelity,,,261308
Fidelity Emerging Mkt Dbt A-Acc-USD,LU0238205958,Fidelity,,,38393
Fidelity Euro Cash A-Dis-EUR,LU0064964074,Fidelity,,,841
Fidelity European Dynamic Gr A-Dis-EUR,LU0119124781,Fidelity,,,669
Fidelity European Growth A-Acc-EUR,LU0296857971,Fidelity,,,234109
Fidelity European Growth A-Dis-EUR,LU0048578792,Fidelity,,,586
Fidelity European Hi Yld A-Acc-EUR,LU0251130802,Fidelity,,,73515
Fidelity European Hi Yld A-Acc-SEK Hdg,LU0413545426,Fidelity,,,165288
Fidelity European Mlt-Asst Inc A Dis EUR,LU0052588471,Fidelity,,,242
Fidelity European Smlr Coms A-Dis-EUR,LU0061175625,Fidelity,,,932
Fidelity FIRST All Country Wld A-Acc-EUR,LU0267387255,Fidelity,,,57889
Fidelity Germany A-Dis-EUR,LU0048580004,Fidelity,,,774
Fidelity Glb Dmgrphcs A-Acc-USD,LU0528227936,Fidelity,,,350438
Fidelity Glb Shrt Dur Inc A-Acc-USD,LU0390710027,Fidelity,,,350435
Fidelity Glbl thmtc Oppos A-USD,LU0048584097,Fidelity,,,2289
Fidelity Global Bond A-Dis-USD,LU0048582984,Fidelity,,,2481
Fidelity Global Corp Bd A-Acc-EUR,LU0532243267,Fidelity,,,350597
Fidelity Global Div Pl A EUR,LU0099575291,Fidelity,,,380
Fidelity Global Dividend A-Acc-USD,LU0772969993,Fidelity,,,350445
Fidelity Global Financial Svcs A-Dis-EUR,LU0114722498,Fidelity,,,521
Fidelity Global Focus A-Acc-USD,LU1366333091,Fidelity,,,659035
Fidelity Global Focus A-Dis-USD,LU0157215616,Fidelity,,,2453
Fidelity Global Health Care A-Dis-EUR,LU0114720955,Fidelity,,,457
Fidelity Global High Yield A-Acc-USD,LU0740037022,Fidelity,,,343415
Fidelity Global Industrials A-Dis-EUR,LU0114722902,Fidelity,,,2344
Fidelity Global Property A-Acc-USD,LU0237698914,Fidelity,,,38389
Fidelity Global Technology A-Dis-EUR,LU0099574567,Fidelity,,,379
Fidelity Greater China A-Dis-USD,LU0048580855,Fidelity,,,80
Fidelity Iberia A-Acc-EUR,LU0261948904,Fidelity,,,76993
Fidelity India Focus A-USD,LU0197229882,Fidelity,,,4762
Fidelity Indonesia A-Dis-USD,LU0055114457,Fidelity,,,81
Fidelity Italy A-Dis-EUR,LU0048584766,Fidelity,,,776
Fidelity Japan Advantage A-Acc-JPY,LU0413544379,Fidelity,,,195128
Fidelity Japan Advantage A-Dis-JPY,LU0161332480,Fidelity,,,4765
Fidelity Latin America A-Dis-USD,LU0050427557,Fidelity,,,1362
Fidelity Nordic A-Dis-SEK,LU0048588080,Fidelity,,,1644
Fidelity Pacific A-Dis-USD,LU0049112450,Fidelity,,,35
Fidelity Sst Fut Cnt A Acc USD,LU2247934214,Fidelity,,,1334999
Fidelity Sus Europ Slr Cmp A Acc EUR,LU2296467611,Fidelity,,,1335000
Fidelity Sus Rcd Cbn Bd A ACC USD,LU2111945882,Fidelity,,,1335002
Fidelity Sust China A Shs A Acc EUR,LU2385790154,Fidelity,,,1344319
Fidelity Sust Cnsmr Brds A-Dis-EUR,LU0114721508,Fidelity,,,522
Fidelity Sust Strat Bd A-Acc-SEK H,LU0594300765,Fidelity,,,310959
Fidelity Sust Water & Waste A Acc USD,LU1892829315,Fidelity,,,916313
Fidelity Sustainable Asia Eq A-Dis-USD,LU0048597586,Fidelity,,,154
Fidelity Sustainable Clt Sol A Acc USD,LU2348335964,Fidelity,,,1335003
Fidelity Sustainable Euroz Eq A-Acc-EUR,LU0238202427,Fidelity,,,38388
Fidelity Sustainable Euroz Eq A-Inc-EUR,LU2219351876,Fidelity,,,1320939
Fidelity Sustainable Glb Eq A-ACC-EUR,LU1627197004,Fidelity,,,1335001
Fidelity Sustainable Jpn Eq A-JPY,LU0048585144,Fidelity,,,1272
Fidelity Sustainable US Eq A Acc EUR,LU0261960354,Fidelity,,,150208
Fidelity Switzerland A-Dis-CHF,LU0054754816,Fidelity,,,777
Fidelity Thailand A-Dis-USD,LU0048621477,Fidelity,,,85
Fidelity UK Special Situations A-INC-GBP,LU2219351520,Fidelity,,,1320941
Fidelity US High Yield A-Acc-EUR,LU0261953904,Fidelity,,,73607
Finserve Global Security Fund I SEK R,LU1822851538,Finserve,,,1096906
Fondita 2000+ B,FI0008802897,Fondita,,,2294
Fondita Equity Spice B,FI0008802855,Fondita,,,1647
Fondita European Micro Cap B,FI4000242854,Fondita,,,759973
Fondita European Small Cap B,FI0008814694,Fondita,,,192934
Fondita Healthcare B,FI4000321096,Fondita,,,886413
Fondita Nordic Micro Cap B,FI0008810940,Fondita,,,70685
Fondita Nordic Micro Cap SEK R,FI4000496393,Fondita,,,1292840
Fondita Nordic Small Cap B,FI0008802871,Fondita,,,1681
Fondita Sustainable Europe B,FI4000024492,Fondita,,,302705
Fondita Sustainable Europe SEK R,FI4000496351,Fondita,,,1292839
Franklin Biotechnology Discv A(acc)USD,LU0109394709,Franklin Templeton,,,455
Franklin European Ttl Ret A(acc)SEK-H1,LU1022658311,Franklin Templeton,,,499516
Franklin Global Real Estate A(acc)EUR-H1,LU0523919115,Franklin Templeton,,,246028
Franklin Gold & Prec Mtls A(acc)USD,LU0496367417,Franklin Templeton,,,236069
Franklin Gulf Wealth Bond A(acc) USD,LU0962741061,Franklin Templeton,,,693993
Franklin India A(acc)USD,LU0231203729,Franklin Templeton,,,70371
Franklin Innovation A(acc)USD,LU2063271972,Franklin Templeton,,,1225079
Franklin K2 Alt Strats A(acc)SEK-H1,LU1162222308,Franklin Templeton,,,533855
Franklin MENA A(acc)USD,LU0352132103,Franklin Templeton,,,139416
Franklin Mutual European A(acc)EUR,LU0140363002,Franklin Templeton,,,29854
Franklin Mutual Glbl DiscvA(acc)USD,LU0211331839,Franklin Templeton,,,39648
Franklin Mutual US Value A acc USD,LU0070302665,Franklin Templeton,,,328
Franklin Natural Resources A(acc)USD,LU0300736062,Franklin Templeton,,,112622
Franklin Technology A Acc USD,LU0109392836,Franklin Templeton,,,397
Franklin Templeton EM Sus A (acc) USD,LU2213486215,Franklin Templeton,,,1225080
Franklin US Opportunities A(acc)SEK-H1,LU0563142453,Franklin Templeton,,,263951
Franklin US Opportunities A(acc)USD,LU0109391861,Franklin Templeton,,,1512
GAM Star China Equity A USD Acc,IE00B1W3X048,GAM,,,645076
GAM Star Credit Opps (EUR) A EUR Acc,IE00B53VBZ63,GAM,,,645075
GAM Star Disruptive Gr A USD Acc,IE00B56F8X29,GAM,,,644315
GAM Star European Equity A EUR Acc,IE0031142981,GAM,,,644316
GAM Star Japan Ldrs-A EUR,IE0003008186,GAM,,,124511
Global Sustainable Leaders,SE0015837687,Navigera,,,1234479
GlobeCap 100 A,SE0013460110,ALFAKRAFT Fonder AB,,,1038386
Go Blockchain Fund A,SE0015837778,AIFM Capital AB,,,1220461
GodFond Sverige & Världen,SE0002800276,SPP,,,181868
GP Bullhound Global Technology A,SE0006881389,Finserve,,,1161889
Handelsbanken Amerika Småbl Tema A1 SEK,SE0011336908,Handelsbanken,,,907816
Handelsbanken Amerika Tema (A1 SEK),SE0000355828,Handelsbanken,,,1464
Handelsbanken Asien Tema (A1 SEK),SE0000356073,Handelsbanken,,,135
Handelsbanken Brasilien Tema A1 SEK,SE0011336874,Handelsbanken,,,909953
Handelsbanken EM Index (A1 SEK),SE0011338409,Handelsbanken,,,910093
Handelsbanken EMEA Tema (A1 SEK),SE0000356271,Handelsbanken,,,2572
Handelsbanken Euro Obligation,SE0005991452,Handelsbanken,,,508257
Handelsbanken Euro Ränta,SE0005965704,Handelsbanken,,,508256
Handelsbanken Europa Index Crit (A1 SEK),SE0000624421,Handelsbanken,,,637
Handelsbanken Europa Selektiv,SE0005936903,Handelsbanken,,,513575
Handelsbanken Europa Småbolag (A1 SEK),SE0000396574,Handelsbanken,,,562
Handelsbanken Finland Småbolag (A1 SEK),SE0005933033,Handelsbanken,,,512555
Handelsbanken Flexibel Ränta A1 SEK,SE0005569316,Handelsbanken,,,457575
Handelsbanken Företagsobligation,SE0005993128,Handelsbanken,,,512558
Handelsbanken Gl Hi Div Lo Vol Cr A1 SEK,SE0013460920,Handelsbanken,,,1076398
Handelsbanken Gl Småbolag Ind Cri A1 SEK,SE0010323675,Handelsbanken,,,799913
Handelsbanken Global Index Crit (A1 SEK),SE0011309707,Handelsbanken,,,910094
Handelsbanken Global Momentum A1 SEK,SE0015382114,Handelsbanken,,,1200237
Handelsbanken Global Selektiv (A1 SEK),SE0011336809,Handelsbanken,,,913953
Handelsbanken Global Tema (Criteria),SE0000356263,Handelsbanken,,,2240
Handelsbanken Hälsovård Tema (A1 SEK),SE0000735375,Handelsbanken,,,464
Handelsbanken Hållbar Energi A1 SEK,SE0005965662,Handelsbanken,,,512559
Handelsbanken Hållbar Gl Obl A1 SEK,SE0011751155,Handelsbanken,,,1200236
Handelsbanken Japan Tema (A1 SEK),SE0000356099,Handelsbanken,,,1254
Handelsbanken Kinafond,SE0005932993,Handelsbanken,,,512556
Handelsbanken Korträn SEK (A1 SEK),SE0000356305,Handelsbanken,,,2028
Handelsbanken Kortränta (A1 SEK),SE0011309491,Handelsbanken,,,901673
Handelsbanken Latinamerika Tema (A1 SEK),SE0000356107,Handelsbanken,,,1358
Handelsbanken Långränta Criteria,SE0000356297,Handelsbanken,,,2079
Handelsbanken Multi Asset 100 (A1 SEK),SE0001192600,Handelsbanken,,,2742
Handelsbanken Multi Asset 120 (A1 SEK),SE0009697170,Handelsbanken,,,951762
Handelsbanken Multi Asset 25 (A1 SEK),SE0005851318,Handelsbanken,,,519995
Handelsbanken Multi Asset 50 (A1 SEK),SE0001192618,Handelsbanken,,,2743
Handelsbanken Multi Asset 60 (A1 SEK),SE0009697147,Handelsbanken,,,1297679
Handelsbanken Multi Asset 75 ( A1 SEK),SE0002979245,Handelsbanken,,,198168
Handelsbanken Norden Ind Crit (A1 SEK),SE0010127894,Handelsbanken,,,791753
Handelsbanken Norden Selektiv,SE0005991700,Handelsbanken,,,512557
Handelsbanken Norden Tema (A1 SEK),SE0000356230,Handelsbanken,,,1632
Handelsbanken Nordiska Småbol (A1 SEK),SE0000522724,Handelsbanken,,,1682
Handelsbanken Norge Tema (A1 SEK),SE0009696768,Handelsbanken,,,783993
Handelsbanken Realränte (A1 SEK),SE0003613124,Handelsbanken,,,255288
Handelsbanken Svenska Småbolag (A1 SEK),SE0000356065,Handelsbanken,,,2006
Handelsbanken Sverige 100 Ind Cri A1 SEK,SE0003788587,Handelsbanken,,,315116
Handelsbanken Sverige Index Criteria,SE0001466368,Handelsbanken,,,20993
Handelsbanken Sverige Selektiv,SE0005965639,Handelsbanken,,,508255
Handelsbanken Sverige Tema (A1 SEK),SE0000582033,Handelsbanken,,,1959
Handelsbanken Tillväxtmark Tema (A1 SEK),SE0000429748,Handelsbanken,,,2155
Handelsbanken Tillväxtmarknad Obl A1 SEK,SE0011336734,Handelsbanken,,,907818
Handelsbanken USA Ind Crit A1 SEK,SE0004139780,Handelsbanken,,,315115
HealthInvest Alpha Fund D,SE0013110103,Healthinvest,,,1040039
Holberg Global A,NO0010073232,Holberg,,,74108
Holberg Norden A,NO0010072945,Holberg,,,74111
Holberg Norge A,NO0010073224,Holberg,,,74107
Holberg Rurik A,NO0010073216,Holberg,,,74110
Holberg Triton A,NO0010730179,Holberg,,,634355
HSBC GIF Asia ex Japan Equity AC,LU0165289439,HSBC,,,61548
HSBC GIF Asia ex Jpn Eq Smlr Coms AC,LU0164939612,HSBC,,,3022
HSBC GIF Asian Currencies Bond AC,LU0210635099,HSBC,,,440909
HSBC GIF Brazil Equity AC,LU0196696453,HSBC,,,3141
HSBC GIF BRIC Markets Equity AC,LU0254981946,HSBC,,,61547
HSBC GIF Chinese Equity AC,LU0164865239,HSBC,,,3061
HSBC GIF Euroland Eq Smlr Coms AC,LU0165073775,HSBC,,,3066
HSBC GIF Frontier Markets AC,LU0666199749,HSBC,,,441286
HSBC GIF Global EM Bd AC,LU0566116140,HSBC,,,440901
HSBC GIF Global EM Local Dbt AC,LU0234585437,HSBC,,,262968
HSBC GIF Global Emerging Mkts Eq AC,LU0164872284,HSBC,,,3070
HSBC GIF Hong Kong Equity AC,LU0164880469,HSBC,,,3062
HSBC GIF Indian Equity AC,LU0164881194,HSBC,,,3063
HSBC GIF Mexico Equity AC,LU0877824093,HSBC,,,440935
HSBC GIF Multi-Asset Style Factors AC,LU1827011492,HSBC,,,960930
HSBC GIF RMB Fixed Income AC,LU0692309627,HSBC,,,440975
HSBC GIF Thai Equity AC,LU0210636733,HSBC,,,35169
HSBC GIF Turkey Equity AC,LU0213961682,HSBC,,,32347
Humle Småbolagsfond A,SE0002229658,ISEC Services AB,,,209089
Humle Sverigefond,SE0002229641,ISEC Services AB,,,209088
IKC 0-100,SE0003116748,IKC,,,214730
IKC Avkastningsfond,SE0004544823,IKC,,,346935
IKC Fastighetsfond A,SE0006600243,IKC,,,551035
IKC Global Flexibel,SE0004951408,IKC,,,416997
IKC Global Infrastructure A,SE0008434948,IKC,,,698234
IKC Strategifond,SE0004951432,IKC,,,417020
IKC Sverige Flexibel,SE0003116730,IKC,,,214448
Impact Credit Opportunity Fund B,SE0016829774,ISEC Services AB,,,1310139
Indecap Guide Q30 C,SE0010441352,Indecap,,,804453
Invesco Active Mlt-Sect Crdt A EUR Acc,LU0102737144,Invesco,,,1703
Invesco Asia Consumer Demand A USD Acc,LU0334857355,Invesco,,,227292
Invesco Asia Opportunities Eq A USD Acc,LU0075112721,Invesco,,,168
Invesco Asian Equity A USD AD,LU1775951525,Invesco,,,886613
Invesco Asian Inv Grd Bd A $ Acc,LU0794788652,Invesco,,,965039
Invesco Balanced-Risk Allc A SEKH Acc,LU0955867832,Invesco,,,435455
Invesco Belt and Road Debt A SEKH Acc,LU1934327435,Invesco,,,965036
Invesco Bond A USD SD,LU1775947762,Invesco,,,891313
Invesco China Focus Equity A USD Acc,LU0717748643,Invesco,,,404618
Invesco Cnttl Eur Sm Cp Eq A USD AD,LU1775961243,Invesco,,,882677
Invesco Dev Sm and MidCap Eq A USD Acc,LU0607512778,Invesco,,,317658
Invesco Developing Mkts Eq A USD Acc,LU2014290212,Invesco,,,1006230
Invesco Em Mkts Select Eq A USD AD,LU1775958025,Invesco,,,882674
Invesco Emer Mkt Lcl Dbt A USD Acc,LU2014293232,Invesco,,,1006233
Invesco Emerging Markets Bond A SEKH Acc,LU1775954974,Invesco,,,891319
Invesco Emerging Markets Bond A USD SD,LU1775955864,Invesco,,,891318
Invesco Emerging Mkt Corp Bd A SEKH Acc,LU0955867592,Invesco,,,435458
Invesco Energy Trnstn Fd A Acc,LU0123357419,Invesco,,,1252020
Invesco Euro Corporate Bond A EUR Acc,LU0243957825,Invesco,,,71104
Invesco Euro Equity A EUR Acc,LU1240328812,Invesco,,,616837
Invesco Glbl Consmr Trnds A USD Acc,LU0052864419,Invesco,,,1252021
Invesco Global Equity A USD Acc,LU2014312123,Invesco,,,1006232
Invesco Global Equity Income A USD Acc,LU0607513230,Invesco,,,317657
Invesco Global Focus Eq A USD Acc,LU2014315142,Invesco,,,1006231
Invesco Global High Income A SEKH Acc,LU1775968842,Invesco,,,891317
Invesco Global High Income A USD SD,LU1775969659,Invesco,,,891316
Invesco Global Hlth Care Innovt A USD AD,LU1775982595,Invesco,,,1252019
Invesco Global Small Cap Eq A USD AD,LU1775975201,Invesco,,,882676
Invesco Global Targeted Ret A EUR Acc,LU1004132566,Invesco,,,462416
Invesco Global Thmtc Inovt Eq A USD Acc,LU1603798981,Invesco,,,1252022
Invesco Global Ttl Ret EUR Bd A SEKH Acc,LU0955867675,Invesco,,,435457
Invesco Gold & Special Mirls A USD Acc,LU0505655562,Invesco,,,250171
Invesco Greater China Equity A USD Acc,LU0048816135,Invesco,,,94
Invesco India Bond A USD Acc,LU0996662002,Invesco,,,965038
Invesco India Equity A USD Acc,LU1642786112,Invesco,,,965034
Invesco India Equity A USD AD,LU0267983889,Invesco,,,70759
Invesco Macro Allc Strat A EUR Acc,LU1233164364,Invesco,,,965037
Invesco Nippon Small/Md Cp Eq A JPY Acc,LU0028119526,Invesco,,,965040
Invesco Pacific Equity A USD AD,LU1775963454,Invesco,,,882675
Invesco Pan European Equity A EUR Acc,LU0028118809,Invesco,,,621
Invesco Pan European Focus Eq A EUR Acc,LU0642795305,Invesco,,,404610
Invesco Pan European Sm Cp Eq A EUR Acc,LU0028119013,Invesco,,,942
Invesco Pan Eurp Struct Rspnb Eq AEURAcc,LU0194779913,Invesco,,,70541
Invesco PRC Equity A USD AD,LU1775965582,Invesco,,,882673
Invesco Responsible Glb Rl Asts A $ Acc,LU1775976944,Invesco,,,1252023
Invesco Responsible Glb Rl Asts A €H Acc,LU1775976605,Invesco,,,891315
Invesco Rspnb EM Innv Eq A USD Acc,LU2014292853,Invesco,,,1006234
Invesco Rspnb Jpn Eq Val Discv A JPY,LU0607515367,Invesco,,,317660
Invesco Rspnb Jpn Eq Val Discv A USD AD,LU0607515102,Invesco,,,326531
Invesco Sus Pan Eurp Stu Eq A € Acc,LU0119750205,Invesco,,,70356
Invesco Sust EM Struct Eq A USD Acc,LU0505655729,Invesco,,,378573
Invesco Sust Euro Struct Eq A EUR Acc,LU1290959623,Invesco,,,616839
Invesco Sust Glbl Struct Eq A USD AD,LU0267984937,Invesco,,,70737
Invesco Sust US Struct Eq A USD Acc,LU0149503202,Invesco,,,71134
Invesco Sustainable Allc A Acc EUR,LU1701702372,Invesco,,,965035
Invesco US Value Equity A USD Acc,LU0607513826,Invesco,,,317656
Investerum Basic Value,SE0006028064,Investerum AB,,,1044018
Investerum Equity Value,SE0017160898,Investerum AB,,,1358060
Investtech Invest D,SE0014704854,Investtech Invest AS,,,1217309
INVL Baltic Fund,LTIF00000096,INVL,,,254209
INVL Emerging Europe Bond,LTIF00000468,INVL,,,414066
INVL Global Emerging Markets Bond,LTIF00000666,INVL,,,901674
Janus Henderson Hrzn Asian Growth A2 USD,LU0011890851,Janus Henderson,,,12266
