MIC,Name
DUSC,BOERSE DUESSELDORF - QUOTRIX - REGULIERTER MARKT
DUSD,BOERSE DUESSELDORF - QUOTRIX MTF
DZBK,DZ BANK - SYSTEMATIC INTERNALISER
EBLX,BLOCKMATCH EUROPE DARK
ECAG,EUREX CLEARING AG
ECGS,EUREX CLEARING AG - SME
ENTW,BLOCKMATCH EUROPE NT
EQTA,BOERSE BERLIN EQUIDUCT TRADING - REGULIERTER MARKT
EQTB,BOERSE BERLIN EQUIDUCT TRADING - BERLIN SECOND REGULATED MARKET
EQTC,BOERSE BERLIN EQUIDUCT TRADING - FREIVERKEHR
EQTD,BOERSE BERLIN EQUIDUCT TRADING - OTC
ERFQ,BLOCKMATCH EUROPE RFQ
EUWA,EUWAX AG - SYSTEMATIC INTERNALISER
EUWX,EUWAX
FICX,FINANCIAL INFORMATION CONTRIBUTORS EXCHANGE
FRAA,BOERSE FRANKFURT - REGULIERTER MARKT
FRAB,BOERSE FRANKFURT - FREIVERKEHR
FRAS,BOERSE FRANKFURT - SCALE
FRAU,BOERSE FRANKFURT - REGULIERTERMARKT - OFF-BOOK
FRAV,BOERSE FRANKFURT - FREIVERKEHR - OFF-BOOK
FRAW,BOERSE FRANKFURT - SCALE - OFF-BOOK
GSBE,GOLDMAN SACHS BANK EUROPE SE
GSEI,GOLDMAN SACHS BANK EUROPE SE - SYSTEMATIC INTERNALISER
HAMA,BOERSE HAMBURG - REGULIERTER MARKT
HAMB,BOERSE HAMBURG - FREIVERKEHR
HAML,BOERSE HAMBURG - LANG AND SCHWARZ EXCHANGE
HAMM,BOERSE HAMBURG - LANG AND SCHWARZ EXCHANGE - REGULIERTER MARKT
HAMN,BOERSE HAMBURG - LANG AND SCHWARZ EXCHANGE - FREIVERKEHR
HANA,BOERSE HANNOVER - REGULIERTER MARKT
HANB,BOERSE HANNOVER - FREIVERKEHR
HELA,HELABA - SYSTEMATIC INTERNALISER
HSBT,HSBC TRINKAUS AND BURKHARDT AG - SYSTEMATIC INTERNALISER
IKBS,IKB DEUTSCHE INDUSTRIEBANK AG - SYSTEMATIC INTERNALISER
JEFE,JEFFERIES EUROPE
JESI,JEFFERIES EUROPE - SYSTEMATIC INTERNALISER
JPEU,J.P. MORGAN SE - SYSTEMATIC INTERNALISER
LBBW,LBBW - LANDESBANK BADEN-WUERTTEMBERG
LBCW,LLOYDS BANK CORPORATE MARKETS WERTPAPIERHANDELSBANK GMBH - SYSTEMATIC INTERNALISER
LBWL,LBBW - LANDESBANK BADEN-WUERTTEMBERG - LIQUIDITY PROVIDER
LBWS,LBBW - LANDESBANK BADEN-WUERTTEMBERG - SYSTEMATIC INTERNALISER
LIGA,LIGA BANK EG - SYSTEMATIC INTERNALISER
LSSI,LANG AND SCHWARZ TRADE CENTER - SYSTEMATIC INTERNALISER
MESI,MORGAN STANLEY EUROPE S.E. - SYSTEMATIC INTERNALISER
MHBD,"MIZUHO BANK, LTD. DUESSELDORF BRANCH - SYSTEMATIC INTERNALISER"
MHEU,MIZUHO SECURITIES EUROPE - SYSTEMATIC INTERNALISER
MSEU,MORGAN STANLEY EUROPE S.E.
MUNA,BOERSE MUENCHEN - REGULIERTER MARKT
MUNB,BOERSE MUENCHEN - FREIVERKEHR
MUNC,BOERSE MUENCHEN - GETTEX - REGULIERTER MARKT
MUND,BOERSE MUENCHEN - GETTEX - FREIVERKEHR
NCME,SMBC NIKKO CAPITAL MARKETS EUROPE GMBH
NESI,NOMURA EUROPE - SYSTEMATIC INTERNALISER
NLBX,NORDDEUTSCHE LANDESBANK - GIROZENTRALE - SYSTEMATIC INTERNALISER
NORD,HSH NORDBANK - SYSTEMATIC INTERNALISER
OLBB,OLDENBURGISCHE LANDESBANK AG FX  HANDEL - SYSTEMATIC INTERNALISER
RBCG,RBC CAPITAL MARKETS (EUROPE) GMBH
SCAG,STANDARD CHARTERED BANK AG - SYSTEMATIC INTERNALISER
SEBA,STIFEL EUROPE BANK AG  - SYSTEMATIC INTERNALISER
SMBD,SUMITOMO MITSUI BANKING CORPORATION - DUESSELDORF BRANCH - SYSTEMATIC INTERNALISER
SMFF,SMBC BANK EU AG - SYSTEMATIC INTERNALISER
SPEX,SPECTRUM MARKETS
SSBI,STATE STREET BANK INTERNATIONAL GMBH
SSBM,STATE STREET BANK INTERNATIONAL FX - SYSTEMATIC INTERNALISER
STUA,BOERSE STUTTGART - REGULIERTER MARKT
STUB,BOERSE STUTTGART - FREIVERKEHR
STUC,BOERSE STUTTGART - REGULIERTER MARKT - TECHNICAL PLATFORM 2
STUD,BOERSE STUTTGART - FREIVERKEHR - TECHNICAL PLATFORM 2
STUE,BOERSE STUTTGART - REGULIERTER MARKT - TECHNICAL PLATFORM 3
STUF,BOERSE STUTTGART - FREIVERKEHR - TECHNICAL PLATFORM 3
TGAT,TRADEGATE EXCHANGE
TGSI,TRADEGATE EXCHANGE - SYSTEMATIC INTERNALISER
UBSI,UBS EUROPE SE - SYSTEMATIC INTERNALISER
UBSL,UBS EUROPE SE - TRADING
UCDE,UNICREDIT BANK AG - SYSTEMATIC INTERNALISER
VONT,BANK VONTOBEL EUROPE AG - SYSTEMATIC INTERNALISER
VTLS,TRADELINK
VTPS,TRADEPLUS
VWDA,VWD - APA SERVICE
VWDX,VWD TRANSACTIONSOLUTIONS AG
XBER,BOERSE BERLIN
XDEX,BOERSE STUTTGART - DIGITAL EXCHANGE
XDUS,BOERSE DUESSELDORF
XECB,ECB EXCHANGE RATES
XECC,EUROPEAN COMMODITY CLEARING AG
XEEE,EUROPEAN ENERGY EXCHANGE
XEEO,EUROPEAN ENERGY EXCHANGE - NON-MTF MARKET
XEER,EUROPEAN ENERGY EXCHANGE - REGULATED MARKET
XEHQ,EUREX REPO - HQLA MARKET
XEQT,BOERSE BERLIN EQUIDUCT TRADING
XERE,EUREX REPO - FUNDING AND FINANCING PRODUCTS
XERT,EUREX REPO - TRIPARTY
XETA,XETRA - REGULIERTER MARKT
XETB,XETRA - FREIVERKEHR
XETE,XETRA - NON-FINANCIAL INSTRUMENTS
XETR,XETRA
XETS,XETRA - SCALE
XETU,XETRA - REGULIERTERMARKT - OFF-BOOK
XETV,XETRA - FREIVERKEHR - OFF-BOOK
XETW,XETRA - SCALE - OFF-BOOK
XETX,XETRA - NON-FINANCIAL INSTRUMENTS - OFF-BOOK
XEUM,EUREX REPO SECLEND MARKET
XEUP,EUREX REPO GMBH
XEUR,EUREX DEUTSCHLAND
XFRA,DEUTSCHE BOERSE AG
XGAT,TRADEGATE EXCHANGE - FREIVERKEHR
XGRM,TRADEGATE EXCHANGE - REGULIERTER MARKT
XHAM,HANSEATISCHE WERTPAPIERBOERSE HAMBURG
XHAN,NIEDERSAECHSISCHE BOERSE ZU HANNOVER
XIGG,BLOCKMATCH EUROPE
XINV,INVESTRO
XMUN,BOERSE MUENCHEN
XPOT,EUROPEAN ENERGY EXCHANGE - OTF GAS MARKET
XPSF,EUROPEAN ENERGY EXCHANGE - REGULATED GAS MARKET
XQTX,BOERSE DUESSELDORF - QUOTRIX
XSC1,BOERSE FRANKFURT WARRANTS TECHNICAL 1
XSC2,BOERSE FRANKFURT WARRANTS TECHNICAL 2
XSC3,BOERSE FRANKFURT WARRANTS TECHNICAL 3
XSCO,BOERSE FRANKFURT WARRANTS TECHNICAL
XSTF,BOERSE STUTTGART - TECHNICAL PLATFORM 2
XSTP,BOERSE STUTTGART - TECHNICAL PLATFORM 3
XSTU,BOERSE STUTTGART
XXSC,FRANKFURT CEF SC
ZOBX,ZOBEX
XGHA,GHANA STOCK EXCHANGE
GSXL,THE GIBRALTAR STOCK EXCHANGE
AAPA,ATHENS EXCHANGE - APA
ABFI,ALPHA BANK - SYSTEMATIC INTERNALISER
ASEX,ATHENS STOCK EXCHANGE
ENAX,ATHENS EXCHANGE ALTERNATIVE MARKET
ERBX,EUROBANK - SYSTEMATIC INTERNALISER
HDAT,ELECTRONIC SECONDARY SECURITIES MARKET (HDAT)
HEDE,HENEX FINANCIAL ENERGY MARKET - DERIVATIVES MARKET
HEMO,HENEX S.A.
HESP,HENEX ELECTRICITY SPOT MARKET
HGSP,HENEX GAS SPOT MARKET
HOTC,HELLENIC EXCHANGE OTC MARKET
PBGR,PIRAEUS BANK - SYSTEMATIC INTERNALISER
XADE,ATHENS EXCHANGE S.A. DERIVATIVES MARKET
XATH,ATHENS EXCHANGE S.A. CASH MARKET
XIPO,HELEX ELECTRONIC BOOK BUILDING
XGTG,BOLSA DE VALORES NACIONAL SA
XCIE,THE INTERNATIONAL STOCK EXCHANGE
GSCI,THE GUYANA ASSOCIATION OF SECURITIES COMPANIES AND INTERMEDIARIES INC.
XBCV,BOLSA CENTROAMERICANA DE VALORES S.A.
BACR,BANK OF AMERICA SECURITIES - CENTRAL RISK
BAEP,BANK OF AMERICA MERRILL LYNCH EQUITY SWAP - EXTERNAL PRICE SOURCE
BAIP,BANK OF AMERICA MERRILL LYNCH EQUITY SWAP - INTERNAL PRICE SOURCE
BASE,BANK OF AMERICA MERRILL LYNCH - SWAP EXECUTIONS
BASP,BANK OF AMERICA SECURITIES EQUITY SWAP - SYNTHETIC PRICE SOURCE
CFHK,CROSSFINDER HONG KONG
CGMH,CITI MATCH - HK
CLHK,CLSA HONG KONG - DARK
CSHK,CREDIT SUISSE SECURITIES (HONG KONG) LIMITED
DBHK,DEUTSCHE BANK HONG KONG ATS
EOTC,E-OTC
GSAL,GOLDMAN SACHS (ASIA) LLC
GSPL,GS PRINCIPAL LIQUIDITY ASIA
GSXH,GSX HONG KONG
HSXA,HSBC-X HONG KONG
JPMI,JP MORGAN - JPMI MARKET
MAQH,MACQUARIE INTERNAL MARKETS (HONG KONG)
OSDS,OSL DIGITAL SECURITIES EXCHANGE
SHSC,STOCK EXCHANGE OF HONG KONG LIMITED - SHANGHAI - HONG KONG STOCK CONNECT
SIGH,SIGMA X HONG KONG
SZSC,STOCK EXCHANGE OF HONG KONG LIMITED - SHENZHEN - HONG KONG STOCK CONNECT
TFSD,T.F.S. DERIVATIVES HK LIMITED
TOCP,TORA CROSSPOINT
TRAS,TRADITION ASIA LIMITED
TWHK,TRADEWEB EUROPE LIMITED - HONG KONG
UBSX,UBS CROSS
XCGS,CHINESE GOLD & SILVER EXCHANGE SOCIETY
XGEM,HONG KONG GROWTH ENTERPRISES MARKET
XHKF,HONG KONG FUTURES EXCHANGE LTD.
XHKG,HONG KONG EXCHANGES AND CLEARING LTD
XIHK,INSTINET PACIFIC LTD
XPST,POSIT - ASIA PACIFIC
BETA,BETA MARKET
CIBH,CIB BANK - SYSTEMATIC INTERNALISER
CONC,CONCORDE SECURITIES LTD. - SYSTEMATIC INTERNALISER
EBHU,ERSTE BANK HUNGARY ZRT. - SYSTEMATIC INTERNALISER
ERST,ERSTE BEFEKTETESI ZRT - SYSTEMATIC INTERNALISER
HUDX,HUNGARIAN DERIVATIVE ENERGY EXCHANGE
HUPX,HUNGARIAN POWER EXCHANGE
KCCP,KELER CCP
KELR,KELER
KHHU,K AND H BANK ZRT - SYSTEMATIC INTERNALISER
OTPB,OTP BANK NYRT - SYSTEMATIC INTERNALISER
RBHU,RAIFFEISEN BANK (HUNGARY) - SYSTEMATIC INTERNALISER
UCHU,UNICREDIT BANK HUNGARY ZRT. - SYSTEMATIC INTERNALISER
XBND,BUDAPEST STOCK EXCHANGE - XBOND
XBUD,BUDAPEST STOCK EXCHANGE
XGAS,CENTRAL EASTERN EUROPEAN GAS EXCHANGE LTD
XTND,XTEND
DICE,NASDAQ ICELAND HF. - NORDIC@MID
DNIS,FIRST NORTH ICELAND - NORDIC@MID
FNIS,FIRST NORTH ICELAND
MICE,NASDAQ ICELAND HF. - AUCTION ON DEMAND
MNIS,FIRST NORTH ICELAND - AUCTION ON DEMAND
XICE,NASDAQ ICELAND HF.
ACEX,ACE DERIVATIVES & COMMODITY EXCHANGE LTD
ASTR,CLEARCORP DEALING SYSTEMS INDIA LIMITED - ASTROID
BSME,BSE SME
CDSL,CLEARCORP DEALING SYSTEMS (INDIA) LTD.
FXCL,CLEARCORP DEALING SYSTEMS INDIA LIMITED - FX-CLEAR
FXSW,CLEARCORP DEALING SYSTEMS INDIA LIMITED - FX-SWAP
ICXL,INDIAN COMMODITY EXCHANGE LTD.
IINX,INDIA INTERNATIONAL EXCHANGE (IFSC) LIMITED
INSE,NSE IFSC LIMITED
ISEX,INTER-CONNECTED STOCK EXCHANGE OF INDIA LTD
MCXX,METROPOLITAN STOCK EXCHANGE OF INDIA LIMITED
NBOT,NATIONAL BOARD OF TRADE LIMITED
NMCE,NATIONAL MULTI-COMMODITY EXCHANGE OF INDIA
OTCX,OTC EXCHANGE OF INDIA
PXIL,POWER EXCHANGE INDIA LTD.
RITS,REFINITIV - FORWARDS MATCHING
XBAN,BANGALORE STOCK EXCHANGE LTD
XBOM,BSE LTD
XCAL,CALCUTTA STOCK EXCHANGE
XDES,DELHI STOCK EXCHANGE
XIMC,MULTI COMMODITY EXCHANGE OF INDIA LTD.
XMDS,MADRAS STOCK EXCHANGE
XNCD,NATIONAL COMMODITY & DERIVATIVES EXCHANGE LTD
XNSE,NATIONAL STOCK EXCHANGE OF INDIA
XUSE,UNITED STOCK EXCHANGE
ICDX,INDONESIA COMMODITY AND DERIVATIVES EXCHANGE
XBBJ,JAKARTA FUTURES EXCHANGE (BURSA BERJANGKA JAKARTA)
XIDX,INDONESIA STOCK EXCHANGE
XJNB,JAKARTA NEGOTIATED BOARD
IFBX,IRAN FARA BOURSE
IMEX,IRAN MERCANTILE EXCHANGE
XTEH,TEHRAN STOCK EXCHANGE
XIQS,IRAQ STOCK EXCHANGE
AILT,ARRACO IRELAND LTD
AREX,AREX - AUTOMATED RECEIVABLES EXCHANGE
BBIE,BARCLAYS BANK IRELAND PLC
BBIS,BARCLAYS BANK IRELAND PLC - SYSTEMATIC INTERNALISER
BKDM,BNY MELLON MARKETS EUROPE LIMITED
BMLI,BANK OF AMERICA MERRILL LYNCH INTERNATIONAL BANK DESIGNATED ACTIVITY COMPANY
BMLS,BANK OF AMERICA MERRILL LYNCH INTERNATIONAL BANK DESIGNATED ACTIVITY COMPANY - SYSTEMATIC INTERNALISER
CEPL,CITIBANK EUROPE PLC - SYSTEMATIC INTERNALISER
CFIL,CANTOR FITZGERALD IRELAND LIMITED
CSGI,CITADEL SECURITIES FI - EUROPE - SYSTEMATIC INTERNALISER
DAVY,J AND E DAVY - IRISH GOVERNMENT BOND - SYSTEMATIC INTERNALISER
EDBT,EURONEXT DUBLIN - TRADED BONDS
EDGL,GLOBAL EXCHANGE MARKET - TRADED BONDS
EQIE,EQUILEND LIMITED
EQSE,EQUILEND LIMITED - SWAPS
EUCC,CITADEL CONNECT EUROPE - EU - SYSTEMATIC INTERNALISER
FXFM,FINANCIAL AND RISK TRANSACTIONS SERVICES IRELAND LIMITED - FORWARDS MATCHING
FXRQ,FINANCIAL AND RISK TRANSACTIONS SERVICES IRELAND LIMITED - FXALL RFQ MTF
FXRS,FINANCIAL AND RISK TRANSACTIONS SERVICES IRELAND LIMITED - FXALL RFS MTF
GBSI,GOODBODY STOCKBROKERS UC
HREU,HRTEU LIMITED - SYSTEMATIC INTERNALISER
IBSI,INTERACTIVE BROKERS - SYSTEMATIC INTERNALISER
ICUR,CURRENEX IRELAND MTF
ICXR,CURRENEX IRELAND MTF - RFQ
IFXA,FX CONNECT IRELAND MTF - ALLOCATIONS
IFXC,FX CONNECT IRELAND MTF
IFXR,FX CONNECT IRELAND MTF - RFQ
ITGL,POSIT MTF
LEUE,LIQUIDNET EU LIMITED EQUITY MTF
LEUF,LIQUIDNET EU LIMITED FIXED INCOME MTF
MCID,MACQUARIE CAPITAL (IRELAND)
MSEL,MAREX SPECTRON EUROPE LIMITED - OTF
RMTF,REFINITIV MTF
SEMX,SEMOPX
SIDX,SCOTIABANK (IRELAND) DESIGNATED ACTIVITY COMPANY - SYSTEMATIC INTERNALISER
SISI,SUSQUEHANNA INTERNATIONAL SECURITIES LIMITED - SYSTEMATIC INTERNALISER
TDGF,TD SECURITIES
VFIL,VIRTU FINANCIAL IRELAND LIMITED
VFSI,VIRTU FINANCIAL IRELAND LIMITED - SYSTEMATIC INTERNALISER
VFXO,VIRTU FINANCIAL IRELAND LIMITED - OTC
XATL,ATLANTIC SECURITIES MARKET
XCDE,BAXTER FINANCIAL SERVICES
XDUB,IRISH STOCK EXCHANGE - ALL MARKET
XEBI,ENERGY BROKING IRELAND GAS TRADING PLATFORM
XESM,EURONEXT GROWTH DUBLIN
XEYE,IRISH STOCK EXCHANGE  - GLOBAL EXCHANGE MARKET
XMSM,EURONEXT DUBLIN
XPAC,POSIT AUCTION
XPOS,POSIT DARK
XRFQ,POSIT RFQ
XTAE,TEL AVIV STOCK EXCHANGE
AKIS,AKIS - BANCA AKROS - SYSTEMATIC INTERNALISER
ATFX,ATFUND MTF
BEIS,BANCA ETICA - SYSTEMATIC INTERNALISER
BNLD,BANCA NAZIONALE DEL LAVORO SPA - SYSTEMATIC INTERNALISER
BREA,BANCA REALE - SYSTEMATIC INTERNALISER
CGCM,CASSA DI COMPENSAZIONE E GARANZIA SPA - COLLATERALIZED MONEY MARKET GUARANTEE SERVICE
CGDB,CASSA DI COMPENSAZIONE E GARANZIA SPA - BONDS CCP SERVICE
CGEB,CASSA DI COMPENSAZIONE E GARANZIA SPA - EURO BONDS CCP SERVICE
CGGD,CASSA DI COMPENSAZIONE E GARANZIA SPA - CCP AGRICULTURAL COMMODITY DERIVATIVES
CGIT,CASSA DI COMPENSAZIONE E GARANZIA SPA
CGND,CASSA DI COMPENSAZIONE E GARANZIA SPA - CCP ENERGY DERIVATIVES
CGQD,CASSA DI COMPENSAZIONE E GARANZIA SPA - CCP EQUITY DERIVATIVES
CGQT,CASSA DI COMPENSAZIONE E GARANZIA SPA - EQUITY CCP SERVICE
CGTR,CASSA DI COMPENSAZIONE E GARANZIA SPA - TRIPARTY REPO CCP SERVICE
CREM,CREDEM BANCA - SYSTEMATIC INTERNALISER
DDTX,DEAL DONE TRADING - SYSTEMATIC INTERNALISER
EBMX,EBM - MTF
EMDR,E-MID - E-MIDER MARKET
EMIB,E-MID - BANCA D'ITALIA SHARES TRADING MARKET
EMID,E-MID
EMIR,E-MID REPO
ETFP,"ELECTRONIC ETF, ETC/ETN AND OPEN-END FUNDS MARKET"
ETLX,EUROTLX
EXGM,EURONEXT GROWTH MILAN
FBSI,FINECO BANK - SYSTEMATIC INTERNALISER
HCER,HI-CERT - MULTILATERAL TRADING FACILITY
HMOD,HI-MTF ORDER DRIVEN
HMTF,HI-MTF
HRFQ,HI-MTF RFQ
IBEQ,INVEST BANCA - IBIS EQUITY - SYSTEMATIC INTERNALISER
IBIS,INVEST BANCA - SYSTEMATIC INTERNALISER
IMMH,IMMH - INTESA SANPAOLO - SYSTEMATIC INTERNALISER
ISBV,BIVER BANCA - SYSTEMATIC INTERNALISER
MCAD,MTS CASH DOMESTIC - MTF
MIVX,MARKET FOR INVESTMENT VEHICLES
MOTX,ELECTRONIC BOND MARKET
MSWP,MTS INTERDEALER SWAPS MARKET
MTAA,ELECTRONIC SHARE MARKET
MTAH,BORSA ITALIANA EQUITY MTF
MTSC,MTS ITALIA
MTSO,MTS S.P.A.
MUBM,"MUFG BANK, LTD. - MILANO BRANCH - SYSTEMATIC INTERNALISER"
SEDX,SECURITISED DERIVATIVES MARKET
SSOB,BONDVISION EUROPE MTF
UBIS,UNIPOL BANCA S.P.A.
UCIT,UNICREDIT SPA - SYSTEMATIC INTERNALISER
XDMI,ITALIAN DERIVATIVES MARKET
XGME,GESTORE MERCATO ELETTRICO - ITALIAN POWER EXCHANGE
XMIL,BORSA ITALIANA S.P.A.
XMOT,EXTRAMOT
XBRV,BOURSE REGIONALE DES VALEURS MOBILIERES
XJAM,JAMAICA STOCK EXCHANGE
BAJD,BANK OF AMERICA MERRILL LYNCH - JAPAN INSTINCT X
BASX,BANK OF AMERICA MERRILL LYNCH - SIMPLEX BLAST X
BETP,BLOOMBERG TRADEBOOK JAPAN LIMITED
BNPX,BNP PARIBAS ALTERNATIVE TRADING SYSTEM
CFJP,CROSSFINDER JAPAN
CHIJ,CHI-X JAPAN
CHIS,CHI-X JAPAN SELECT
CHIV,CHI-X JAPAN VWAP CROSSING
CITD,CITI DARK
CITX,CITI MATCH - JP
CLJP,CLSA JAPAN - DARK
CMET,"CLEAR MARKETS JAPAN, INC."
CSJP,CREDIT SUISSE EQUITIES (JAPAN) LIMITED
DRCT,DAIWA DRECT
ICHK,NOMURA ICE  - HK
ICKR,NOMURA ICE  - KR
ICSH,NOMURA ICE  - SH
ICSZ,NOMURA ICE  - SZ
ICTW,NOMURA ICE  - TW
KAIX,KAI-X
LXJP,BARCLAYS LX JAPAN
MAQJ,MACQUARIE INTERNAL MARKETS (JAPAN)
MIZX,MIZUHO INTERNAL CROSSING
MSMS,"MORGAN STANLEY MUFG SECURITIES CO., LTD"
MUDX,MITSUBISHI DIAMOND CROSSING
NMRJ,NOMURA SECURITIES CO LTD
NMSX,NOMURA - EXTERNAL CROSSING PLATFORM
NXJP,NX JAPAN
NXSE,NX SELECT JAPAN
NXVW,NX VWAP
ODXE,ODX - OSAKA DIGITAL EXCHANGE
SBIJ,JAPANNEXT - J - MARKET
SBIU,JAPANNEXT - U - MARKET
SBIV,JAPANNEXT - VWAP CROSSING
SIGJ,SIGMA X JAPAN
SMBC,SMBC NIKKO SNET DARKPOOL - SYSTEMATIC INTERNALISER
TWJP,TRADEWEB JAPAN KK - PTS
TWJT,TRADEWEB JAPAN KK - ETP
UTSL,UEDA TRADITION SECURITIES LTD.
XFKA,FUKUOKA STOCK EXCHANGE
XJPX,JAPAN EXCHANGE GROUP
XKAC,OSAKA DOJIMA COMMODITY EXCHANGE
XNGO,NAGOYA STOCK EXCHANGE
XNKS,CENTRAL JAPAN COMMODITIES EXCHANGE
XOSE,OSAKA EXCHANGE
XOSJ,OSAKA EXCHANGE J-NET
XSAP,SAPPORO SECURITIES EXCHANGE
XSBI,JAPANNEXT - X - MARKET
XTAM,TOKYO STOCK EXCHANGE-TOKYO PRO MARKET
XTFF,TOKYO FINANCIAL  EXCHANGE
XTK1,TOKYO STOCK EXCHANGE - TOSTNET-1
XTK2,TOKYO STOCK EXCHANGE - TOSTNET-2
XTK3,TOKYO STOCK EXCHANGE - TOSTNET-3
XTKS,TOKYO STOCK EXCHANGE
XTKT,TOKYO COMMODITY EXCHANGE
AMNL,AMMAN STOCK EXCHANGE - NON-LISTED SECURITIES MARKET
XAMM,AMMAN STOCK EXCHANGE
